insurer,insurerGroup,approvedRateChange ,approvalDate,renewalEffectiveDate,marketShare,marketShareYear
Intact Insurance Company,Intact,1.16,"Mar 23, 2022","Jun 14, 2022",8.2893,2020
Belair Insurance Company Inc.,Intact,-0.74,"Mar 23, 2022","Mar 31, 2022",5.2887,2020
Intact Insurance Company,Intact,-0.07,"May 19, 2022","Sep 10, 2022",0.0000,2021
Aviva General Insurance Company,Aviva,-0.07,"May 17, 2022","Sep 1, 2022",0.0000,2021
Aviva Insurance Company of Canada,Aviva,-0.01,"May 19, 2022","Sep 1, 2022",0.0000,2021
Aviva General Insurance Company,Aviva,-0.02,"Apr 5, 2022","Jul 1, 2022",0.0000,2021
Dominion of Canada General Insurance Company (The),Travelers,-0.02,"Apr 7, 2022","Jul 17, 2022",0.0000,2021
Farm Mutual Reinsurance Plan Inc. (on behalf of Ontario Mutuals),FMRe,0.04,"Mar 30, 2022","Jul 1, 2022",0.0000,2021
Allstate Insurance Company of Canada,Allstate,-0.57,"Mar 31, 2022","Jun 15, 2022",5.3858,2020
Gore Mutual Insurance Company,Gore,4.94,"Apr 25, 2022","Jul 1, 2022",0.0000,2021
Co-operators General Insurance Company,Co-op,-2.19,"May 5, 2022","Aug 5, 2022",0.0000,2021
Security National Insurance Company,TD,-0.14,"Mar 24, 2022","Jul 12, 2022",0.0000,2021
Primmum Insurance Company,TD,-0.21,"Mar 24, 2022","Jul 12, 2022",0.0000,2021
Scottish & York Insurance Co. Limited,Aviva,-0.37,"May 19, 2022","Sep 1, 2022",0.0000,2021
Traders General Insurance Company,Aviva,-0.34,"May 19, 2022","Sep 1, 2022",0.0000,2021
Facility Association,FA,12.08,"Jan 25, 2022","Jun 1, 2022",0.3634,2020
Verassure Insurance Company,Northbridge,4.97,"May 27, 2022","Jul 14, 2022",0.0000,2021
Pafco Insurance Company,Allstate,5.00,"Jun 29, 2022","Sep 8, 2022",0.0000,2021
Pembridge Insurance Company,Allstate,4.99,"Jun 29, 2022","Sep 8, 2022",0.0000,2021
Allstate Insurance Company of Canada,Allstate,4.99,"Jun 29, 2022","Sep 8, 2022",0.0000,2021
Zenith Insurance Company,Northbridge,10.37,"Jun 17, 2022","Oct 1, 2022",0.0000,2021
Wawanesa Mutual Insurance Company (The),Wawanesa,-0.14,"Jul 29, 2022","Nov 1, 2022",0.0000,2021
Belair Insurance Company Inc.,Intact,3.60,"Aug 12, 2022","Nov 10, 2022",0.0000,2021
Definity Insurance Company,Definity,1.39,"Jul 29, 2022","Nov 19, 2022",6.2323,2021
Verassure Insurance Company,Northbridge,4.96,"Aug 26, 2022","Oct 20, 2022",0.2610,2021
Primmum Insurance Company,TD,0.00,"Aug 26, 2022","Jan 1, 2023",1.5462,2021
Security National Insurance Company,TD,0.00,"Aug 26, 2022","Jan 1, 2023",6.6744,2021
TD General Insurance Company,TD,0.00,"Aug 26, 2022","Jan 1, 2023",2.2022,2021
Sonnet Insurance Company,Definity,0.00,"Sep 13, 2022","Dec 1, 2022",0.8962,2021
Definity Insurance Company,Definity,0.00,"Sep 15, 2022","Feb 8, 2023",6.2323,2021
Aviva General Insurance Company,Aviva,1.17,"Sep 14, 2022","Feb 1, 2023",3.4546,2021
Certas Home and Auto Insurance Company,Desjardins,1.54,"Aug 4, 2022","Apr 27, 2023",9.6456,2021
Certas Direct Insurance Company,Desjardins,1.63,"Aug 4, 2022","Apr 27, 2023",2.0168,2021
Personal Insurance Company (The),Desjardins,1.46,"Aug 4, 2022","Apr 27, 2023",4.0285,2021
TD General Insurance Company,TD,-0.25,"Mar 24, 2022","Jul 12, 2022",0.0000,2021
Belair Insurance Company Inc.,Intact,-1.80,"May 12, 2022","Oct 1, 2022",0.0000,2021
Jevco Insurance Company,Intact,5.00,"Jun 13, 2022","Sep 10, 2022",0.0000,2021
Intact Insurance Company,Intact,3.44,"Aug 29, 2022","Dec 2, 2022",10.5495,2021
Optimum Insurance Company Inc.,Optimum,2.64,"Sep 15, 2022","Dec 15, 2022",0.1646,2021
S&Y Insurance Company,Aviva,0.00,"Sep 21, 2022","Feb 1, 2023",0.3527,2021
Scottish & York Insurance Co. Limited,Aviva,3.02,"Oct 19, 2022","Feb 1, 2023",1.0496,2021
Chubb Insurance Company of Canada,Chubb,12.60,"Sep 29, 2022","Feb 1, 2023",0.4414,2021
Farm Mutual Reinsurance Plan Inc. (on behalf of Ontario Mutuals),FMRe,0.00,"Oct 27, 2022","Feb 1, 2023",1.6348,2021
Co-operators General Insurance Company,Co-op,-0.43,"Oct 18, 2022","Jan 13, 2023",7.3258,2021
Western Assurance Company,Intact,5.00,"Nov 7, 2019","Feb 15, 2020",1.1445,2018
Royal & SunAlliance Insurance Company of Canada,Intact,5.00,"Dec 5, 2019","Mar 19, 2020",1.0881,2018
Unifund Assurance Company,Intact,5.00,"Sep 22, 2022","Dec 1, 2022",2.2645,2021
Gore Mutual Insurance Company,Gore,-0.80,"Nov 2, 2022","Mar 1, 2023",1.6380,2021
Belair Insurance Company Inc.,Intact,0.46,"Nov 15, 2022","Feb 1, 2023",6.1341,2021
SOMPO Japan Insurance Inc.,Sompo,0.00,"Nov 23, 2022","Jan 1, 2023",0.0000,2021
Peel Mutual Insurance Company,Peel,4.91,"Dec 7, 2022","Mar 1, 2023",0.1784,2021
Sonnet Insurance Company,Definity,12.28,"Feb 15, 2023","Apr 26, 2023",0.8962,2021
Gore Mutual Insurance Company,Gore,6.96,"Dec 14, 2022","Mar 10, 2023",1.6380,2021
Security National Insurance Company,TD,0.00,"Dec 15, 2022","May 1, 2023",6.6744,2021
TD General Insurance Company,TD,4.98,"Dec 21, 2022","May 1, 2023",2.2022,2021
Primmum Insurance Company,TD,5.04,"Dec 21, 2022","May 1, 2023",1.5462,2021
Belair Insurance Company Inc.,Intact,0.00,"Dec 22, 2022","Mar 24, 2023",6.1341,2021
CAA Insurance Company,CAA,2.17,"Jan 10, 2023","Jun 15, 2023",3.0534,2021
Allstate Insurance Company of Canada,Allstate,11.72,"Jan 18, 2023","May 1, 2023",5.5475,2021
Verassure Insurance Company,Northbridge,4.96,"Feb 3, 2023","Apr 29, 2023",0.2610,2021
Pembridge Insurance Company,Allstate,15.00,"Jan 17, 2023","Apr 1, 2023",2.7045,2021
Co-operators General Insurance Company,Co-op,0.00,"Jan 20, 2023","Mar 1, 2023",7.3258,2021
Aviva Insurance Company of Canada,Aviva,0.00,"Jan 19, 2023","Jun 1, 2023",5.6883,2021
Scottish & York Insurance Co. Limited,Aviva,0.00,"Jan 19, 2023","Jun 1, 2023",1.0496,2021
Coachman Insurance Company,SGI,9.71,"Jan 26, 2023","Apr 15, 2023",0.1792,2021
Traders General Insurance Company,Aviva,0.00,"Jan 23, 2023","Jun 1, 2023",1.5101,2021
Dominion of Canada General Insurance Company (The),Travelers,5.00,"Mar 2, 2023","Aug 13, 2023",0.0000,2022
Northbridge General Insurance Corporation,Northbridge,12.83,"Mar 6, 2023","Jul 7, 2023",0.0000,2022
Federated Insurance Company of Canada,Northbridge,22.52,"Mar 7, 2023","Jul 7, 2023",0.0000,2022
S&Y Insurance Company,Aviva,-0.03,"Mar 20, 2023","Jul 1, 2023",0.0000,2022
SGI CANADA Insurance Services Ltd.,SGI,9.73,"Mar 20, 2023","Aug 1, 2023",0.0000,2022
Allstate Insurance Company of Canada,Allstate,0.00,"Mar 21, 2023","Jun 28, 2023",5.5475,2021
Pembridge Insurance Company,Allstate,0.00,"Mar 21, 2023","Jun 28, 2023",2.7045,2021
Intact Insurance Company,Intact,1.53,"Mar 22, 2023","Jul 7, 2023",0.0000,2022
Commonwell Mutual Insurance Group (The),Commonwell,0.11,"Mar 20, 2023","Sep 1, 2023",0.0000,2022
Commonwell Mutual Insurance Group (The),Commonwell,2.76,"Oct 13, 2017","Mar 1, 2018",0.4246,2017
Commonwell Mutual Insurance Group (The),Commonwell,0.00,"Mar 15, 2018","Jul 1, 2018",0.4246,2017
Commonwell Mutual Insurance Group (The),Commonwell,8.61,"Mar 26, 2019","Jun 30, 2019",0.4246,2017
Commonwell Mutual Insurance Group (The),Commonwell,0.12,"Sep 27, 2019","Jan 1, 2020",0.4653,2018
Commonwell Mutual Insurance Group (The),Commonwell,-0.10,"Nov 25, 2020","Mar 1, 2021",0.5327,2019
Continental Casualty Company,Continental,0.00,"Nov 22, 2017","Jan 1, 2018",0.0000,2017
Continental Casualty Company,Continental,0.00,"Apr 10, 2018","Jul 1, 2018",0.0000,2017
Continental Casualty Company,Continental,8.09,"Dec 17, 2019","Jan 1, 2020",0.0000,2018
COSECO Insurance Company,Co-op,5.03,"Feb 21, 2018","Jun 1, 2018",1.2891,2017
COSECO Insurance Company,Co-op,0.00,"Apr 16, 2018","Oct 1, 2018",1.2891,2017
COSECO Insurance Company,Co-op,5.03,"Dec 18, 2018","Jun 1, 2019",1.2891,2017
COSECO Insurance Company,Co-op,10.12,"Oct 15, 2019","Mar 1, 2020",1.3445,2018
CUMIS General Insurance Company,Co-op,1.86,"Nov 30, 2017","Apr 1, 2018",0.4072,2017
CUMIS General Insurance Company,Co-op,0.00,"Apr 5, 2018","Oct 1, 2018",0.4072,2017
CUMIS General Insurance Company,Co-op,-0.02,"Jun 28, 2018","Nov 1, 2018",0.4072,2017
CUMIS General Insurance Company,Co-op,5.05,"Feb 28, 2019","Sep 1, 2019",0.4057,2018
CUMIS General Insurance Company,Co-op,1.93,"Jan 16, 2019","Apr 1, 2019",0.4072,2017
CUMIS General Insurance Company,Co-op,0.00,"May 9, 2019","Oct 1, 2019",0.4057,2018
CUMIS General Insurance Company,Co-op,0.36,"Feb 28, 2020","Apr 1, 2020",0.4057,2018
Dominion of Canada General Insurance Company (The),Travelers,2.05,"Mar 6, 2018","May 13, 2018",4.0182,2017
Dominion of Canada General Insurance Company (The),Travelers,4.49,"Jul 12, 2018","Sep 23, 2018",4.0182,2017
Dominion of Canada General Insurance Company (The),Travelers,7.62,"Feb 5, 2019","May 17, 2019",4.0182,2017
Dominion of Canada General Insurance Company (The),Travelers,15.47,"Jul 24, 2019","Oct 20, 2019",4.1674,2018
Dominion of Canada General Insurance Company (The),Travelers,0.00,"Jun 2, 2020","Oct 21, 2020",3.6989,2019
Dominion of Canada General Insurance Company (The),Travelers,0.00,"Aug 18, 2020","Apr 1, 2021",3.6989,2019
Echelon Insurance,CAA,0.00,"Apr 12, 2018","Jul 1, 2018",0.6503,2017
Echelon Insurance,CAA,7.84,"Aug 21, 2018","Nov 1, 2018",0.6503,2017
Echelon Insurance,CAA,11.23,"Jan 7, 2019","Mar 15, 2019",0.6503,2017
Echelon Insurance,CAA,0.00,"Oct 10, 2019","Jan 1, 2020",0.9165,2018
Echelon Insurance,CAA,5.00,"Dec 19, 2019","Mar 1, 2020",0.9165,2018
Echelon Insurance,CAA,0.00,"Apr 15, 2021","Jul 1, 2021",1.4913,2020
Echelon Insurance,CAA,0.00,"Aug 11, 2021","Aug 15, 2021",1.4913,2020
Echelon Insurance,CAA,0.00,"Sep 15, 2021","Dec 1, 2021",1.4913,2020
Economical Mutual Insurance Company,Economical,8.15,"Jun 5, 2018","Sep 15, 2018",6.2782,2017
Economical Mutual Insurance Company,Economical,0.00,"Oct 4, 2018","Jan 28, 2019",6.2782,2017
Economical Mutual Insurance Company,Economical,11.40,"Mar 14, 2019","May 23, 2019",6.2782,2017
Economical Mutual Insurance Company,Economical,6.20,"Sep 9, 2019","Nov 25, 2019",6.8016,2018
Economical Mutual Insurance Company,Economical,4.09,"Mar 2, 2020","May 29, 2020",6.8016,2018
Economical Mutual Insurance Company,Economical,-0.11,"Jan 27, 2021","May 1, 2021",5.9694,2019
Esurance Insurance Company of Canada,Allstate,-12.67,"Dec 15, 2017","Feb 25, 2018",0.0068,2017
Esurance Insurance Company of Canada,Allstate,0.00,"Apr 26, 2018","Jun 30, 2018",0.0068,2017
Facility Association,FA,0.00,"Apr 25, 2018","Aug 1, 2018",0.1323,2017
Facility Association,FA,0.00,"Sep 10, 2019","Jan 1, 2020",0.1529,2018
Farm Mutual Reinsurance Plan Inc. (on behalf of Ontario Mutuals),FMRe,1.95,"Dec 1, 2017","Mar 1, 2018",1.7450,2017
Farm Mutual Reinsurance Plan Inc. (on behalf of Ontario Mutuals),FMRe,0.00,"Mar 22, 2018","Jul 1, 2018",1.7450,2017
Unifund Assurance Company,RSA,6.03,"Jul 17, 2019","Oct 1, 2019",3.0808,2018
Unifund Assurance Company,RSA,2.58,"Jul 17, 2019","Oct 1, 2019",3.0808,2018
Unifund Assurance Company,RSA,3.00,"Jan 13, 2020","Apr 1, 2020",3.0808,2018
Verassure Insurance Company,Northbridge,0.00,"Jul 20, 2018","Feb 1, 2019",0.0000,2017
Verassure Insurance Company,Northbridge,0.00,"Mar 6, 2019","Apr 1, 2019",0.0000,2017
Verassure Insurance Company,Northbridge,0.00,"Sep 15, 2020","Sep 15, 2020",0.0631,2019
Verassure Insurance Company,Northbridge,-0.02,"Mar 26, 2021","May 14, 2021",0.0631,2019
Wawanesa Mutual Insurance Company (The),Wawanesa,0.00,"Mar 14, 2018","Jun 1, 2018",3.3494,2017
Wawanesa Mutual Insurance Company (The),Wawanesa,0.00,"Mar 20, 2018","Jul 1, 2018",3.3494,2017
Wawanesa Mutual Insurance Company (The),Wawanesa,4.00,"Aug 27, 2018","Nov 1, 2018",3.3494,2017
Wawanesa Mutual Insurance Company (The),Wawanesa,4.98,"Jan 4, 2019","May 1, 2019",3.3494,2017
Wawanesa Mutual Insurance Company (The),Wawanesa,5.02,"Aug 30, 2019","Nov 1, 2019",3.2422,2018
Wawanesa Mutual Insurance Company (The),Wawanesa,4.99,"Jan 17, 2020","May 1, 2020",3.2422,2018
Wawanesa Mutual Insurance Company (The),Wawanesa,1.96,"Sep 25, 2020","Dec 1, 2020",3.7473,2019
Wawanesa Mutual Insurance Company (The),Wawanesa,-0.04,"Dec 30, 2020","May 1, 2021",3.7473,2019
Wawanesa Mutual Insurance Company (The),Wawanesa,-0.16,"Aug 6, 2021","Nov 1, 2021",3.7563,2020
Western Assurance Company,RSA,5.20,"Sep 29, 2017","Jan 1, 2018",1.0824,2017
Western Assurance Company,RSA,3.79,"Jul 18, 2018","Oct 15, 2018",1.0824,2017
Western Assurance Company,RSA,7.42,"Feb 20, 2019","Jun 15, 2019",1.0824,2017
Western Assurance Company,RSA,0.05,"Apr 18, 2019","Jul 20, 2019",1.1445,2018
Zenith Insurance Company,Northbridge,7.38,"Mar 7, 2023","Jul 7, 2023",0.0000,2022
XL Specialty Insurance Company,XL,0.00,"Apr 26, 2018","Jun 1, 2018",0.0000,2017
Zenith Insurance Company,Northbridge,-0.03,"Nov 21, 2017","Mar 1, 2018",0.4441,2017
Zenith Insurance Company,Northbridge,0.24,"Feb 6, 2018","Jan 1, 2018",0.4441,2017
Zenith Insurance Company,Northbridge,0.00,"Apr 16, 2018","Jul 1, 2018",0.4441,2017
Zenith Insurance Company,Northbridge,10.12,"Nov 7, 2018","Feb 15, 2019",0.4441,2017
Zenith Insurance Company,Northbridge,-0.04,"Sep 5, 2019","Dec 1, 2019",0.4756,2018
Zenith Insurance Company,Northbridge,4.93,"Dec 5, 2019","Feb 15, 2020",0.4756,2018
Zurich Insurance Company,Zurich,0.00,"Apr 10, 2018","Jun 1, 2018",0.0013,2017
Heartland Farm Mutual Inc.,Heartland,0.64,"Jan 21, 2022","May 1, 2022",0.3225,2020
Echelon Insurance,CAA,14.94,"Mar 20, 2023","Jul 1, 2023",0.0000,2022
Traders General Insurance Company,Aviva,0.00,"Mar 29, 2023","May 1, 2023",1.5101,2021
Heartland Farm Mutual Inc.,Heartland,5.47,"Apr 4, 2023","Jul 1, 2023",0.0000,2022
Primmum Insurance Company,TD,4.99,"Jun 21, 2022","Sep 25, 2022",0.0000,2021
Unica Insurance Inc.,La Capitale,4.92,"Dec 22, 2022","Mar 15, 2023",0.4315,2021
Definity Insurance Company,Definity,3.43,"Jan 25, 2023","Apr 29, 2023",6.2323,2021
Wawanesa Mutual Insurance Company (The),Wawanesa,0.00,"Mar 6, 2023","Dec 1, 2023",0.0000,2022
Aviva General Insurance Company,Aviva,-0.01,"Mar 30, 2023","Jul 1, 2023",0.0000,2022
Federated Insurance Company of Canada,Northbridge,0.29,"Dec 13, 2021","Apr 14, 2022",0.0290,2020
Zenith Insurance Company,Northbridge,0.03,"Dec 13, 2021","Apr 14, 2022",0.4794,2020
Northbridge General Insurance Corporation,Northbridge,-0.20,"Dec 10, 2021","Apr 14, 2022",0.8275,2020
Aviva General Insurance Company,Aviva,3.37,"Aug 11, 2022","Dec 1, 2022",3.4546,2021
Aviva Insurance Company of Canada,Aviva,2.00,"Aug 19, 2022","Nov 1, 2022",5.6883,2021
Scottish & York Insurance Co. Limited,Aviva,2.00,"Aug 19, 2022","Nov 1, 2022",1.0496,2021
Traders General Insurance Company,Aviva,2.00,"Aug 19, 2022","Nov 1, 2022",1.5101,2021
Aviva Insurance Company of Canada,Aviva,2.92,"Oct 19, 2022","Feb 1, 2023",5.6883,2021
CUMIS General Insurance Company,Co-op,5.99,"Dec 19, 2022","Jun 1, 2023",0.4550,2021
Aviva General Insurance Company,Aviva,3.94,"Dec 21, 2022","May 1, 2023",3.4546,2021
TD General Insurance Company,TD,5.00,"Jun 21, 2022","Sep 25, 2022",0.0000,2021
CUMIS General Insurance Company,Co-op,0.03,"Jul 20, 2022","Dec 1, 2022",0.0000,2021
Belair Insurance Company Inc.,Intact,-0.20,"Mar 30, 2023","Jul 3, 2023",0.0000,2022
Intact Insurance Company,Intact,0.62,"Nov 9, 2022","Feb 4, 2023",10.5495,2021
CAA Insurance Company,CAA,-10.49,"Nov 10, 2022","Jun 15, 2023",3.0534,2021
Chubb Insurance Company of Canada,Chubb,0.00,"Nov 10, 2022","Apr 2, 2023",0.4414,2021
S&Y Insurance Company,Aviva,0.00,"Nov 10, 2022","Feb 2, 2023",0.3527,2021
Aviva Insurance Company of Canada,Aviva,0.00,"Nov 10, 2022","Mar 1, 2023",5.6883,2021
Traders General Insurance Company,Aviva,0.00,"Nov 10, 2022","Mar 1, 2023",1.5101,2021
Scottish & York Insurance Co. Limited,Aviva,-0.11,"Nov 10, 2022","Mar 1, 2023",1.0496,2021
Facility Association,FA,13.08,"Jan 17, 2023","May 1, 2023",0.3703,2021
Personal Insurance Company (The),Desjardins,5.00,"Mar 14, 2023","May 30, 2023",4.0285,2021
Certas Direct Insurance Company,Desjardins,5.00,"Mar 15, 2023","May 30, 2023",2.0168,2021
Certas Home and Auto Insurance Company,Desjardins,5.00,"Mar 14, 2023","May 30, 2023",9.6456,2021
Jevco Insurance Company,Intact,-0.01,"Mar 8, 2018","Jun 8, 2018",0.7727,2017
Jevco Insurance Company,Intact,0.00,"Apr 4, 2018","Jul 13, 2018",0.7727,2017
Jevco Insurance Company,Intact,11.60,"Sep 21, 2018","Dec 14, 2018",0.7727,2017
Jevco Insurance Company,Intact,5.00,"Feb 28, 2019","May 10, 2019",0.7727,2017
Jevco Insurance Company,Intact,6.00,"Nov 12, 2019","Feb 8, 2020",0.6507,2018
Jevco Insurance Company,Intact,0.00,"Sep 21, 2020","Dec 18, 2020",0.8513,2019
Liberty Mutual Insurance Company,Liberty,0.00,"Apr 10, 2018","Jul 1, 2018",0.0000,2017
Northbridge General Insurance Corporation,Northbridge,0.00,"Mar 28, 2018","Apr 1, 2018",0.6537,2017
Northbridge General Insurance Corporation,Northbridge,-0.03,"Apr 18, 2018","Jul 1, 2018",0.6537,2017
Northbridge General Insurance Corporation,Northbridge,-0.26,"Jun 6, 2018","Aug 1, 2018",0.6537,2017
Northbridge General Insurance Corporation,Northbridge,0.48,"Oct 18, 2019","Jan 1, 2020",0.7330,2018
Northbridge General Insurance Corporation,Northbridge,0.00,"Apr 18, 2018","Jul 1, 2018",0.6537,2017
Northbridge General Insurance Corporation,Northbridge,0.00,"Oct 18, 2018","Jan 15, 2019",0.6537,2017
Northbridge General Insurance Corporation,Northbridge,10.52,"Jul 25, 2019","Oct 15, 2019",0.7330,2018
Novex Insurance Company,Intact,6.01,"Mar 9, 2018","May 11, 2018",1.0420,2017
Novex Insurance Company,Intact,0.00,"May 17, 2018","Sep 8, 2018",1.0420,2017
Novex Insurance Company,Intact,6.00,"Aug 10, 2018","Oct 19, 2018",1.0420,2017
Novex Insurance Company,Intact,5.01,"Jun 20, 2019","Sep 7, 2019",1.0021,2018
Novex Insurance Company,Intact,0.00,"Sep 11, 2019","Dec 6, 2019",1.0021,2018
Novex Insurance Company,Intact,5.00,"Nov 15, 2019","Feb 8, 2020",1.0021,2018
Novex Insurance Company,Intact,0.00,"Jan 24, 2020","Apr 10, 2020",1.0021,2018
Optimum Insurance Company Inc.,Optimum,6.50,"Mar 26, 2018","Jun 5, 2018",0.1794,2017
Optimum Insurance Company Inc.,Optimum,0.00,"Apr 16, 2018","Jul 1, 2018",0.1794,2017
Optimum Insurance Company Inc.,Optimum,5.00,"Sep 27, 2018","Jan 1, 2019",0.1794,2017
Optimum Insurance Company Inc.,Optimum,0.00,"Mar 22, 2019","Jun 15, 2019",0.1794,2017
Optimum Insurance Company Inc.,Optimum,7.00,"Jul 23, 2019","Oct 15, 2019",0.1796,2018
Pafco Insurance Company,Allstate,3.94,"Jan 8, 2018","Apr 15, 2018",0.3758,2017
Pafco Insurance Company,Allstate,0.00,"Mar 28, 2018","Sep 1, 2018",0.3758,2017
Pafco Insurance Company,Allstate,6.00,"Nov 27, 2018","Mar 1, 2019",0.3758,2017
Pafco Insurance Company,Allstate,1.40,"May 13, 2019","Aug 1, 2019",0.3184,2018
Pafco Insurance Company,Allstate,0.00,"Sep 20, 2019","Dec 15, 2019",0.3184,2018
Pafco Insurance Company,Allstate,5.00,"Jan 21, 2020","Apr 7, 2020",0.3184,2018
Pembridge Insurance Company,Allstate,0.83,"Jan 12, 2018","Apr 15, 2018",1.4765,2017
Pembridge Insurance Company,Allstate,0.00,"Mar 28, 2018","Sep 1, 2018",1.4765,2017
Pembridge Insurance Company,Allstate,0.00,"Jul 31, 2018","Dec 16, 2018",1.4765,2017
Pembridge Insurance Company,Allstate,7.95,"Dec 10, 2018","Mar 1, 2019",1.4765,2017
Pembridge Insurance Company,Allstate,0.40,"Apr 12, 2019","May 15, 2019",1.4765,2017
Pembridge Insurance Company,Allstate,4.00,"Aug 29, 2019","Nov 15, 2019",1.7665,2018
Pembridge Insurance Company,Allstate,0.00,"Sep 20, 2019","Dec 15, 2019",1.7665,2018
Pembridge Insurance Company,Allstate,0.00,"Jan 12, 2021","Mar 15, 2021",2.0515,2019
Pembridge Insurance Company,Allstate,-3.94,"Oct 18, 2021","Dec 21, 2021",2.2902,2020
Personal Insurance Company (The),Desjardins,5.57,"Mar 15, 2018","May 28, 2018",4.0744,2017
Personal Insurance Company (The),Desjardins,0.00,"May 15, 2018","Oct 2, 2018",4.0744,2017
Personal Insurance Company (The),Desjardins,3.76,"Sep 13, 2018","Nov 14, 2018",4.0744,2017
Personal Insurance Company (The),Desjardins,10.05,"Dec 21, 2018","Mar 12, 2019",4.0744,2017
Personal Insurance Company (The),Desjardins,0.00,"Jan 24, 2019","Apr 30, 2019",4.0744,2017
Personal Insurance Company (The),Desjardins,0.00,"Sep 3, 2019","Nov 19, 2019",4.2175,2018